国定路600弄    ,411,3, 71.97
文化名园    ,390,2, 60.1
建设公寓    ,450,2, 76.58
城市方园    ,323,2, 68.32
兰花新村    ,285,2, 49.7
国和二村    ,305,2, 59.3
合生江湾国际公寓    ,790,2, 96.28
凤城路104弄    ,275,2, 54.69
控江路652弄    ,318,2, 61.83
浦罡小区    ,235,2, 43.29
延吉东路303号    ,235,2, 49.2
鞍山四村第一小区    ,245,1, 37.48
水电新村    ,250,1, 54.31
复旦教师公寓    ,330,2, 55.94
平凉小区    ,430,2, 84
嘉誉湾    ,1820,4, 201.7
殷行一、二村    ,320,2, 70.77
文化佳园    ,1150,3, 148.72
长海二村    ,435,3, 70.79
江浦路1275弄    ,240,1, 41.47
界龙商务大楼    ,530,2, 88.42
崇业小区    ,225,1, 33.39
延吉七村    ,197,1, 36.23
张家浜小区    ,240,1, 34.7
新江湾城雍景苑    ,599,2, 85.4
昆明路1268弄    ,305,2, 55.42
双辽新村    ,260,1, 43.12
凤城三村    ,158,1, 34.24
皇朝新城    ,780,3, 137.54
长阳路890号    ,231,2, 42.5
密云小区    ,420,1, 52
凤城三村    ,185,1, 34.36
浦江风景苑    ,1125,3, 142.32
怡佳苑    ,478,3, 91.42
现代星洲城    ,900,3, 128.13
创智坊(公寓)    ,1020,2, 128.61
锦都玫瑰园    ,880,3, 138.85
兰花教师公寓    ,660,3, 99.08
怡福苑    ,675,3, 102.61
密云小区    ,490,2, 66.2
凤城三村    ,312,2, 59.66
同济绿园    ,597,1, 66
广杭苑    ,588,2, 96.3
靖宇南路5弄    ,325,1, 34.13
莱茵半岛    ,845,3, 139.77
保辉香景园    ,1280,3, 138.59
莱茵半岛    ,815,3, 130.19
辽源一村    ,320,2, 51.1
浣沙三村    ,395,2, 66.23
怡福苑    ,645,3, 98.42
新江湾城雍景苑    ,870,3, 124.37
海上海新城(公寓)    ,980,2, 134.48
鞍山六村    ,638,3, 99.85
鞍山一村    ,320,2, 43.38
涵碧景苑    ,1200,4, 166.11
盛世豪园(一期)    ,670,2, 100.41
尚浦名邸    ,1530,3, 196
凤城五村    ,325,2, 52.58
文化花园香榭丽苑    ,730,3, 125.48
万佳苑    ,570,2, 78.43
密云小区    ,495,2, 55.41
彰武路120弄    ,520,2, 80.44
海鹏苑    ,370,1, 62.61
双辽路155弄    ,390,2, 63.96
珠江香樟南园    ,470,1, 58
鹏程苑    ,518,3, 86.03
眉州路515弄    ,210,1, 37.19
三湘世纪花城三期    ,740,2, 102.9
阳明新城    ,495,2, 79.37
三门路358弄    ,295,2, 59.14
泰鸿新苑    ,620,1, 78.23
江湾翰林    ,1920,4, 215.88
双辽支路70弄    ,165,1, 33.22
江浦路2009弄    ,455,2, 62.05
华润置地橡树湾    ,1320,3, 153.51
公园3000黄兴花园    ,890,2, 111.28
明德公寓    ,560,2, 94.86
佳龙花园    ,1100,3, 123.11
延吉东路315弄    ,345,3, 66.91
江浦路2009弄    ,395,2, 60.62
公交新村    ,355,1, 52.72
珠江香樟园    ,820,3, 113.18
宝钢又一村    ,660,2, 103.08
九州丽园    ,780,2, 120.19
长海二村    ,305,2, 56.68
城市方园    ,350,2, 71.8
仁德路67弄10支弄    ,265,1, 44.96
双辽新村    ,370,2, 53.41
江浦路1275弄    ,410,2, 67.08
盛世豪园(二期)    ,720,2, 81.1
东方锦园    ,875,3, 137.88
兰花教师公寓    ,750,3, 94.65
东森花园    ,1050,3, 134.29
佳泰花园    ,698,2, 89.04
佳龙花园    ,999,3, 123.11
北茶园    ,260,1, 38.47
民星路568弄    ,428,2, 78.89
荣丰花园    ,650,2, 97.77
水月坊    ,500,2, 63.09
华升公寓    ,685,2, 96.41
盛世豪园(二期)    ,780,2, 87.71
控江西三村    ,285,2, 44.63
恒阳花苑    ,490,2, 66.15
祥生御江湾(公寓)    ,1958,7, 321.44
